LECROYHDO6104,5494,Waveform
Segments,1,SegmentSize,10002
Segment,TrigTime,TimeSinceSegment1
#1,24-Mar-2017 14:50:50,0                 
Time,Ampl
-0.03869,8.92366
-0.03868,8.92378
-0.03867,8.92428
-0.03866,8.92453
-0.03865,8.92553
-0.03864,8.92578
-0.03863,8.92628
-0.03862,8.92728
-0.03861,8.92703
-0.0386,8.92803
-0.03859,8.92778
-0.03858,8.92816
-0.03857,8.92903
-0.03856,8.92928
-0.03855,8.9304
-0.03854,8.93065
-0.03853,8.93115
-0.03852,8.9309
-0.03851,8.9319
-0.0385,8.93203
-0.03849,8.93278
-0.03848,8.9334
-0.03847,8.93378
-0.03846,8.93428
-0.03845,8.93453
-0.03844,8.93503
-0.03843,8.93553
-0.03842,8.93615
-0.03841,8.9369
-0.0384,8.93678
-0.03839,8.93715
-0.03838,8.93765
-0.03837,8.93865
-0.03836,8.93903
-0.03835,8.93965
-0.03834,8.94002
-0.03833,8.9399
-0.03832,8.94065
-0.03831,8.94115
-0.0383,8.9419
-0.03829,8.94202
-0.03828,8.94227
-0.03827,8.94327
-0.03826,8.9434
-0.03825,8.94365
-0.03824,8.94365
-0.03823,8.94452
-0.03822,8.94477
-0.03821,8.9459
-0.0382,8.94615
-0.03819,8.94627
-0.03818,8.94677
-0.03817,8.94727
-0.03816,8.9479
-0.03815,8.94877
-0.03814,8.94865
-0.03813,8.94915
-0.03812,8.94965
-0.03811,8.94977
-0.0381,8.95052
-0.03809,8.95114
-0.03808,8.95114
-0.03807,8.95164
-0.03806,8.95202
-0.03805,8.95277
-0.03804,8.95302
-0.03803,8.95377
-0.03802,8.95389
-0.03801,8.95452
-0.038,8.95427
-0.03799,8.95502
-0.03798,8.95514
-0.03797,8.95577
-0.03796,8.95627
-0.03795,8.95702
-0.03794,8.95739
-0.03793,8.95777
-0.03792,8.95764
-0.03791,8.95814
-0.0379,8.95839
-0.03789,8.95939
-0.03788,8.95939
-0.03787,8.96026
-0.03786,8.96076
-0.03785,8.96076
-0.03784,8.96089
-0.03783,8.96126
-0.03782,8.96214
-0.03781,8.96239
-0.0378,8.96289
-0.03779,8.96289
-0.03778,8.96301
-0.03777,8.96351
-0.03776,8.96414
-0.03775,8.96464
-0.03774,8.96489
-0.03773,8.96589
-0.03772,8.96589
-0.03771,8.96601
-0.0377,8.96676
-0.03769,8.96676
-0.03768,8.96701
-0.03767,8.96764
-0.03766,8.96814
-0.03765,8.96839
-0.03764,8.96864
-0.03763,8.96876
-0.03762,8.96889
-0.03761,8.96951
-0.0376,8.96989
-0.03759,8.97038
-0.03758,8.97038
-0.03757,8.97088
