Name	Sweep	
Date	24 / 3 / 2017	
Time	18:45:28	
Instrument	FSH8 - 106469/028	
Firmware Version	V1.58	
Instrument Mode	Spectrum	
Meas Mode	Spectrum	
Uplink	- - -	
Downlink	- - -	
Channel (uplink)	- - -	
6682539.68253968	-71.9597778320313	 
6698412.6984127	-72.0044097900391	 
6714285.71428571	-72.145881652832	 
6730158.73015873	-72.2359848022461	 
6746031.74603175	-72.0901184082031	 
6761904.76190476	-72.1777191162109	 
6777777.77777778	-72.0572052001953	 
6793650.79365079	-72.03662109375	 
6809523.80952381	-72.1332397460938	 
6825396.82539683	-72.2052612304688	 
6841269.84126984	-72.4752807617188	 
6857142.85714286	-72.4452285766602	 
6873015.87301587	-72.1658172607422	 
6888888.88888889	-72.3138427734375	 
6904761.9047619	-72.2686538696289	 
6920634.92063492	-72.1731414794922	 
6936507.93650794	-72.2010040283203	 
6952380.95238095	-72.3115005493164	 
6968253.96825397	-72.3058776855469	 
6984126.98412698	-72.3583679199219	 
7000000	-72.4559173583984	 
7015873.01587302	-72.4100189208984	 
7031746.03174603	-72.2664260864258	 
7047619.04761905	-72.1048126220703	 
7063492.06349206	-72.137451171875	 
7079365.07936508	-72.3594131469727	 
7095238.0952381	-72.3357620239258	 
7111111.11111111	-72.5195083618164	 
7126984.12698413	-72.5094909667969	 
7142857.14285714	-72.4645462036133	 
7158730.15873016	-72.354621887207	 
7174603.17460317	-72.375732421875	 
7190476.19047619	-72.5084075927734	 
7206349.20634921	-72.5140686035156	 
7222222.22222222	-72.4023666381836	 
7238095.23809524	-72.4741668701172	 
7253968.25396825	-72.4407501220703	 
7269841.26984127	-72.3376770019531	 
7285714.28571429	-72.3219680786133	 
7301587.3015873	-72.4614105224609	 
7317460.31746032	-72.3045883178711	 
7333333.33333333	-72.3184127807617	 
7349206.34920635	-72.3856887817383	 
7365079.36507936	-72.0225982666016	 
7380952.38095238	-70.8897094726563	 
7396825.3968254	-68.8866119384766	 
7412698.41269841	-68.4707336425781	 
7428571.42857143	-70.8410415649414	 
7444444.44444444	-72.1969757080078	 
7460317.46031746	-72.2369842529297	 
7476190.47619048	-72.3404769897461	 
7492063.49206349	-72.4854583740234	 
7507936.50793651	-72.5247802734375	 
7523809.52380952	-72.1929321289063	 
7539682.53968254	-72.2188415527344	 
7555555.55555556	-72.3273773193359	 
7571428.57142857	-72.272834777832	 
7587301.58730159	-72.2614517211914	 
7603174.6031746	-72.1723022460938	 
7619047.61904762	-72.1720886230469	 
7634920.63492064	-72.0493011474609	 
7650793.65079365	-72.091064453125	 
7666666.66666667	-72.1727676391602	 
7682539.68253968	-72.2188873291016	 
7698412.6984127	-72.3103713989258	 
7714285.71428571	-72.2891235351563	 
7730158.73015873	-72.2965774536133	 
7746031.74603175	-72.3461074829102	 
7761904.76190476	-72.3797302246094	 
7777777.77777778	-72.2996673583984	 
7793650.79365079	-72.3062973022461	 
7809523.80952381	-72.2506942749023	 
7825396.82539683	-72.2845764160156	 
7841269.84126984	-72.4421615600586	 
7857142.85714286	-72.3902282714844	 
7873015.87301587	-72.4165496826172	 
7888888.88888889	-72.460693359375	 
7904761.9047619	-72.4482192993164	 
7920634.92063492	-72.4434967041016	 
7936507.93650794	-72.3642501831055	 
7952380.95238095	-72.4656295776367	 
7968253.96825397	-72.6581726074219	 
7984126.98412698	-72.6587829589844	 
8000000	-72.5233459472656	 
8015873.01587302	-72.4376754760742	 
8031746.03174603	-72.4545516967773	 
8047619.04761905	-72.6063461303711	 
8063492.06349206	-72.5583267211914	 
8079365.07936508	-72.3285675048828	 
8095238.0952381	-72.3148498535156	 
8111111.11111111	-72.2933654785156	 
8126984.12698413	-72.4285430908203	 
8142857.14285714	-72.6617889404297	 
8158730.15873016	-72.6750106811523	 
8174603.17460317	-72.4468612670898	 
8190476.19047619	-72.3548278808594	 
8206349.20634921	-72.5078201293945	 
8222222.22222222	-72.4890060424805	 
8238095.23809524	-72.5007247924805	 
8253968.25396825	-72.5780868530273	 
8269841.26984127	-72.4822082519531	 
8285714.28571429	-72.3650054931641	 
8301587.3015873	-72.5447082519531	 
8317460.31746032	-72.5548248291016	 
8333333.33333333	-72.3818817138672	 
8349206.34920635	-72.2445526123047	 
8365079.36507936	-72.2595825195313	 
8380952.38095238	-72.3743667602539	 
8396825.3968254	-72.4610595703125	 
8412698.41269841	-72.3492431640625	 
8428571.42857143	-72.2843322753906	 
8444444.44444444	-72.3369979858398	 
8460317.46031746	-72.2510528564453	 
8476190.47619048	-72.4051055908203	 
8492063.49206349	-72.5055160522461	 
8507936.50793651	-72.3961029052734	 
8523809.52380952	-72.2358169555664	 
8539682.53968254	-72.4930114746094	 
8555555.55555556	-72.5678100585938	 
8571428.57142857	-72.3269500732422	 
8587301.58730159	-72.4828567504883	 
8603174.6031746	-72.4111328125	 
8619047.61904762	-72.3812713623047	 
8634920.63492063	-72.534309387207	 
8650793.65079365	-72.4319000244141	 
8666666.66666667	-72.4497756958008	 
8682539.68253968	-72.4633560180664	 
8698412.6984127	-72.498176574707	 
8714285.71428571	-72.39892578125	 
8730158.73015873	-72.5417709350586	 
8746031.74603175	-72.6510162353516	 
8761904.76190476	-72.4037933349609	 
8777777.77777778	-72.3974075317383	 
8793650.79365079	-72.5262222290039	 
8809523.80952381	-72.5439758300781	 
8825396.82539682	-72.546760559082	 
8841269.84126984	-72.4845199584961	 
8857142.85714286	-72.4795761108398	 
8873015.87301587	-72.4836883544922	 
8888888.88888889	-72.5082397460938	 
8904761.9047619	-72.2418060302734	 
8920634.92063492	-72.2674102783203	 
8936507.93650794	-72.593147277832	 
8952380.95238095	-72.6893463134766	 
8968253.96825397	-72.5502471923828	 
8984126.98412698	-72.4505920410156	 
9000000	-72.5796661376953	 
9015873.01587302	-72.7301330566406	 
9031746.03174603	-72.6127090454102	 
9047619.04761905	-72.4991073608398	 
9063492.06349206	-72.3960494995117	 
9079365.07936508	-72.534553527832	 
9095238.0952381	-72.5656433105469	 
9111111.11111111	-72.4874572753906	 
9126984.12698413	-72.558723449707	 
9142857.14285714	-72.6298675537109	 
9158730.15873016	-72.5446395874023	 
